lote_id,linha_producao,temperatura_reator_c,rendimento_pct,unidades_produzidas,data_inicio,status_aprovacao
LT-1000,Linha_B,35.66,150.0,15000,2026-01-01,Aprovado
LT-1001,,36.11,150.0,invalid_read,2026-01-02,Aprovado
LT-1002,Linha_C,36.03,99.5,12500,2026-01-03,Reprovado
LT-1003,Linha_B,34.74,78.0,invalid_read,2026-01-04,Aprovado
LT-1004,Linha_A,36.86,,12500,2026-01-05,Aprovado
LT-1005,Linha_A,36.81,,12500,2026-01-06,Aprovado
LT-1006,Linha_A,36.51,99.5,8000,2026-01-07,Aprovado
LT-1007,Linha_C,36.22,92.1,12500,2026-01-08,Aprovado
LT-1008,Linha_B,34.8,92.1,10000,2026-01-09,Reprovado
LT-1009,Linha_C,36.0,,15000,2026-01-10,Aprovado
LT-1010,Linha_A,36.09,,15000,2026-01-11,Aprovado
LT-1011,,35.54,150.0,invalid_read,2026-01-12,Aprovado
LT-1012,Linha_C,36.31,78.0,12500,2026-01-13,Em Quarentena
LT-1013,Linha_A,36.98,85.4,10000,2026-01-14,Aprovado
LT-1014,Linha_A,38.76,92.1,invalid_read,2026-01-15,Aprovado
LT-1015,Linha_A,36.71,,8000,2026-01-16,Reprovado
LT-1016,Linha_A,36.81,150.0,invalid_read,2026-01-17,Em Quarentena
LT-1017,Linha_B,36.41,-5.0,invalid_read,2026-01-18,Em Quarentena
LT-1018,Linha_B,34.2,150.0,12500,2026-01-19,Reprovado
LT-1019,Linha_A,36.47,92.1,8000,2026-01-20,Aprovado
LT-1020,Linha_B,36.57,92.1,invalid_read,2026-01-21,Aprovado
LT-1021,Linha_A,39.46,150.0,10000,2026-01-22,Reprovado
LT-1022,Linha_A,36.27,85.4,10000,2026-01-23,Aprovado
LT-1023,Linha_B,36.86,99.5,15000,2026-01-24,Aprovado
LT-1024,Linha_B,36.46,92.1,8000,2026-01-25,Em Quarentena
LT-1025,Linha_C,35.1,150.0,8000,2026-01-26,Aprovado
LT-1026,Linha_A,37.87,,15000,2026-01-27,Aprovado
LT-1027,Linha_B,37.4,150.0,invalid_read,2026-01-28,Aprovado
LT-1028,Linha_B,37.45,78.0,8000,2026-01-29,Aprovado
LT-1029,Linha_A,35.41,99.5,10000,2026-01-30,Aprovado
LT-1030,Linha_B,38.18,-5.0,10000,2026-01-31,Aprovado
LT-1031,Linha_A,34.82,85.4,12500,2026-02-01,Aprovado
LT-1032,Linha_A,37.2,-5.0,8000,2026-02-02,Aprovado
LT-1033,Linha_C,39.13,99.5,invalid_read,2026-02-03,Aprovado
LT-1034,,35.31,99.5,15000,2026-02-04,Aprovado
LT-1035,Linha_C,35.82,99.5,15000,2026-02-05,Em Quarentena
LT-1036,Linha_A,36.62,-5.0,invalid_read,2026-02-06,Aprovado
LT-1037,Linha_A,35.9,,12500,2026-02-07,Aprovado
LT-1038,Linha_B,34.64,99.5,15000,2026-02-08,Reprovado
LT-1039,Linha_B,36.58,150.0,8000,2026-02-09,Aprovado
LT-1040,Linha_A,35.23,-5.0,12500,2026-02-10,Em Quarentena
LT-1041,Linha_B,37.07,99.5,8000,2026-02-11,Aprovado
LT-1042,Linha_A,35.4,150.0,10000,2026-02-12,Em Quarentena
LT-1043,Linha_C,38.36,,12500,2026-02-13,Aprovado
